Year;Total;DOS;Invasão;WEB;Scan;fraude;outros;Month;bridge_users_br;relay_users_br;relays;bridges;onions
2014;48565.0;8383.0;293.0;1997.0;20756.0;12962.0;1317.0;5;816.0;4339240.0;145559.0;100012.0;
2014;54057.0;10345.0;612.0;2171.0;17477.0;20149.0;1029.0;6;1272.0;3910742.0;161749.0;96312.0;
2014;58662.0;10218.0;210.0;2225.0;20292.0;21265.0;1158.0;7;2299.0;3946701.0;181519.0;109489.0;
2014;134156.0;38822.0;187.0;1828.0;21500.0;67480.0;1012.0;8;1799.0;3905939.0;187098.0;113844.0;
2014;214954.0;56184.0;290.0;2347.0;21498.0;130108.0;1215.0;9;2030.0;3504742.0;185172.0;109202.0;
2014;206148.0;50195.0;296.0;3029.0;23763.0;125060.0;1242.0;10;4263.0;3330159.0;199821.0;108752.0;
2014;107219.0;29566.0;201.0;3416.0;28053.0;42420.0;992.0;11;5373.0;3039460.0;198599.0;118439.0;
2014;58743.0;3159.0;727.0;5941.0;30751.0;14971.0;968.0;12;5453.0;2759090.0;209110.0;125297.0;198073.0
2015;67661.0;1367.0;409.0;6547.0;36445.0;18465.0;1599.0;1;3576.0;2564148.0;216663.0;128902.0;766329.0
2015;66700.0;2056.0;289.0;8102.0;39267.0;12513.0;1791.0;2;2442.0;2260455.0;194893.0;114975.0;743842.0
2015;52959.0;70.0;489.0;8822.0;32351.0;6338.0;2022.0;3;2374.0;2514142.0;210237.0;114321.0;907320.0
2015;52991.0;34.0;150.0;6297.0;31215.0;10571.0;1678.0;4;3608.0;2201543.0;199921.0;116271.0;680685.0
2015;58322.0;374.0;177.0;5399.0;23242.0;23890.0;2118.0;5;2402.0;2182855.0;205947.0;99521.0;762572.0
2015;81244.0;1016.0;157.0;9219.0;29593.0;36327.0;1509.0;6;2604.0;2088578.0;199814.0;89760.0;819915.0
2015;53075.0;2763.0;160.0;4716.0;32601.0;6561.0;2133.0;7;3212.0;2044173.0;202420.0;107249.0;885118.0
2015;65486.0;3354.0;104.0;4447.0;33446.0;18701.0;1751.0;8;2836.0;1923422.0;195130.0;99043.0;889329.0
2015;59311.0;2511.0;119.0;3993.0;29759.0;16560.0;2043.0;9;2674.0;1813978.0;194096.0;95883.0;914077.0
2015;52226.0;1702.0;140.0;4315.0;32554.0;6089.0;1125.0;10;6231.0;1868336.0;204377.0;95069.0;948776.0
2015;64203.0;9142.0;145.0;2297.0;38482.0;6595.0;1630.0;11;8497.0;1821047.0;202120.0;91307.0;867082.0
2015;48027.0;971.0;118.0;1493.0;32268.0;6165.0;1622.0;12;9680.0;1807344.0;215152.0;82926.0;1047499.0
2016;54781.0;942.0;272.0;2266.0;32959.0;11846.0;1502.0;1;14605.0;1681732.0;221397.0;81600.0;1132175.0
2016;57041.0;137.0;95.0;1422.0;40911.0;8783.0;1517.0;2;17124.0;1411456.0;209825.0;80721.0;1599628.0
2016;92852.0;12851.0;106.0;4526.0;58962.0;10573.0;1948.0;3;22904.0;1505019.0;222113.0;84963.0;2049003.0
2016;44352.0;6147.0;126.0;1637.0;22531.0;11681.0;1060.0;4;23220.0;1444835.0;215807.0;80775.0;1678836.0
2016;49228.0;338.0;125.0;2361.0;27496.0;14456.0;1266.0;5;23864.0;1538383.0;218639.0;80277.0;1699605.0
2016;59266.0;823.0;126.0;1554.0;41210.0;12646.0;866.0;6;23602.0;1457982.0;212366.0;85331.0;1688510.0
2016;38402.0;1676.0;116.0;1804.0;25763.0;6252.0;1025.0;7;34494.0;1457716.0;216178.0;89682.0;1678378.0
2016;49596.0;260.0;137.0;10802.0;27970.0;7402.0;1098.0;8;112678.0;1390260.0;216773.0;83106.0;1785366.0
2016;45472.0;9171.0;145.0;6027.0;21596.0;6082.0;868.0;9;157490.0;1227835.0;214726.0;52583.0;1686336.0
2016;35372.0;410.0;86.0;5050.0;23257.0;4182.0;1094.0;10;134729.0;1166411.0;221521.0;61940.0;1676268.0
2016;57345.0;15735.0;320.0;7758.0;25858.0;5277.0;1379.0;11;114340.0;1184055.0;213929.0;65521.0;1804214.0
2016;63405.0;11942.0;41.0;10234.0;35390.0;3538.0;1052.0;12;118015.0;1099029.0;222011.0;73993.0;1843195.0
2017;64161.0;154.0;62.0;12169.0;44475.0;5424.0;758.0;1;88034.0;1089140.0;223010.0;80528.0;1830936.0
2017;27092.0;76.0;35.0;4362.0;16809.0;3815.0;526.0;2;75760.0;997398.0;203996.0;75653.0;1527272.0
2017;54305.0;19.0;23.0;6281.0;41423.0;4587.0;581.0;3;24103.0;1158494.0;226510.0;82523.0;1821086.0
2017;51011.0;29.0;18.0;7782.0;35530.0;5310.0;256.0;4;21264.0;1056047.0;220445.0;100572.0;1716594.0
2017;47616.0;8.0;50.0;6232.0;32858.0;6027.0;341.0;5;19882.0;1089511.0;224201.0;111806.0;1713670.0
2017;49519.0;237.0;14.0;8320.0;30959.0;5733.0;307.0;6;24314.0;1038272.0;214857.0;100810.0;1697239.0
2017;257618.0;207780.0;1.0;4131.0;34364.0;5559.0;810.0;7;154500.0;1026048.0;217007.0;91568.0;1701833.0
2017;54035.0;11314.0;23.0;3037.0;28592.0;6513.0;446.0;8;107625.0;1055678.0;213408.0;80785.0;1523439.0
2017;47940.0;254.0;24.0;1465.0;35474.0;3308.0;151.0;9;123083.0;1061237.0;204587.0;90569.0;1477990.0
2017;74116.0;184.0;13.0;1691.0;60890.0;3690.0;298.0;10;156617.0;1096263.0;204948.0;72842.0;1577649.0
2017;63646.0;120.0;39.0;3245.0;51466.0;3316.0;207.0;11;199041.0;1001939.0;196793.0;62039.0;1588651.0
2017;42716.0;13.0;99.0;2051.0;30418.0;6037.0;61.0;12;65900.0;941829.0;199199.0;58335.0;1822580.0
2018;46847.0;47.0;83.0;4120.0;34276.0;1890.0;204.0;1;26166.0;951201.0;189809.0;65268.0;2050233.0
2018;75608.0;40575.0;96.0;2177.0;28254.0;2337.0;200.0;2;43152.0;797716.0;170906.0;56824.0;1880859.0
2018;46985.0;10677.0;38.0;2116.0;27890.0;3681.0;210.0;3;51892.0;858135.0;192118.0;61144.0;2106893.0
2018;58382.0;42.0;193.0;2479.0;47075.0;5988.0;74.0;4;56270.0;845870.0;192564.0;53665.0;2336658.0
2018;41641.0;2115.0;168.0;2186.0;31428.0;2661.0;116.0;5;71668.0;896725.0;199528.0;50687.0;3471678.0
2018;37562.0;7442.0;127.0;1851.0;19949.0;2883.0;164.0;6;92355.0;834555.0;190883.0;48812.0;3239117.0
2018;68865.0;6876.0;103.0;4769.0;50753.0;3319.0;90.0;7;36843.0;830077.0;199384.0;17575.0;2578136.0
2018;85271.0;51524.0;55.0;5787.0;23509.0;3414.0;30.0;8;55629.0;832429.0;197510.0;20143.0;3208664.0
2018;53679.0;13940.0;34.0;2181.0;30871.0;3726.0;96.0;9;59671.0;764974.0;191811.0;22867.0;3141784.0
2018;63049.0;16045.0;47.0;3519.0;35628.0;3169.0;65.0;10;69138.0;806765.0;198454.0;26264.0;3220960.0
2018;47731.0;3701.0;120.0;6467.0;32245.0;2206.0;96.0;11;63457.0;821354.0;192528.0;27385.0;3262132.0
2018;50894.0;5423.0;11.0;3541.0;35712.0;2410.0;149.0;12;60512.0;819669.0;198561.0;29111.0;3230738.0
2019;62481.0;4191.0;19.0;2594.0;46038.0;1744.0;99.0;1;46190.0;838559.0;199894.0;28355.0;3338973.0
2019;70069.0;2192.0;27.0;4179.0;54401.0;1459.0;104.0;2;56684.0;758173.0;183021.0;26582.0;3040450.0
2019;85409.0;29309.0;19.0;2006.0;47966.0;1521.0;112.0;3;23013.0;883585.0;203548.0;30177.0;3312987.0
2019;59900.0;2718.0;37.0;1555.0;45774.0;2119.0;73.0;4;20116.0;909456.0;198984.0;29549.0;3071109.0
2019;52129.0;15773.0;74.0;1425.0;25521.0;2633.0;148.0;5;21226.0;910459.0;204491.0;31965.0;2207303.0
2019;221231.0;191593.0;52.0;1337.0;19289.0;2230.0;132.0;6;21956.0;907931.0;195270.0;30805.0;2197003.0
2019;48836.0;3884.0;27.0;1308.0;32054.0;2994.0;339.0;7;19684.0;971180.0;200715.0;32513.0;2220593.0
2019;61006.0;5892.0;51.0;1561.0;37521.0;4400.0;160.0;8;18143.0;904890.0;202363.0;33362.0;2430148.0
2019;52027.0;7326.0;28.0;1876.0;27654.0;5388.0;156.0;9;17756.0;789159.0;194293.0;34648.0;2158049.0
2019;53253.0;8313.0;45.0;2219.0;26153.0;5859.0;96.0;10;17075.0;723536.0;185888.0;38089.0;2107272.0
2019;59735.0;25701.0;80.0;625.0;20450.0;5795.0;52.0;11;15644.0;661004.0;181435.0;37312.0;1907694.0
2019;49251.0;4416.0;68.0;1649.0;26927.0;3277.0;43.0;12;17140.0;709044.0;193922.0;39856.0;1985818.0
2020;35094.0;3579.0;54.0;999.0;20704.0;2701.0;354.0;1;16733.0;798713.0;195956.0;41154.0;2088155.0
2020;40229.0;7424.0;52.0;897.0;21184.0;2319.0;138.0;2;14054.0;735273.0;186741.0;38440.0;2467246.0
2020;63313.0;16837.0;93.0;1045.0;31633.0;3111.0;1278.0;3;15643.0;839518.0;206831.0;41681.0;2523180.0
2020;55255.0;6092.0;110.0;1458.0;36287.0;3537.0;91.0;4;16030.0;777552.0;205402.0;39493.0;3754450.0
2020;59820.0;4815.0;122.0;2225.0;38389.0;3512.0;59.0;5;15864.0;820921.0;199555.0;39026.0;6388807.0
2020;64986.0;7417.0;184.0;2187.0;39243.0;2844.0;78.0;6;19307.0;723547.0;186910.0;40187.0;5432403.0
2020;67473.0;5708.0;106.0;2821.0;43340.0;2166.0;424.0;7;19459.0;689380.0;198868.0;44945.0;5760125.0
2020;55040.0;3758.0;42.0;3037.0;33015.0;1978.0;483.0;8;16160.0;666975.0;206143.0;48177.0;5614332.0
2020;54897.0;1490.0;71.0;3588.0;34200.0;2295.0;493.0;9;16770.0;699133.0;191885.0;48239.0;5107790.0
2020;57048.0;2295.0;125.0;3104.0;35488.0;1974.0;422.0;10;17026.0;858526.0;212988.0;50185.0;5354911.0
2020;58808.0;4632.0;102.0;3747.0;34934.0;1890.0;1005.0;11;8421.0;411208.0;202624.0;49024.0;5239793.0
2020;53116.0;4153.0;151.0;1459.0;29640.0;2253.0;1598.0;12;13825.0;724620.0;211018.0;48610.0;5435881.0
2021;44775.0;5559.0;378.0;846.0;35594.0;1852.0;546.0;1;14949.0;697769.0;215707.0;48412.0;5442962.0
2021;38893.0;2851.0;139.0;770.0;32986.0;1389.0;758.0;2;14567.0;643471.0;191680.0;43772.0;4933429.0
2021;49561.0;7963.0;130.0;803.0;38270.0;1547.0;848.0;3;74298.0;745051.0;209576.0;47831.0;5361096.0
2021;33320.0;2234.0;146.0;850.0;28134.0;1703.0;253.0;4;25559.0;733196.0;199171.0;46044.0;5015731.0
2021;36507.0;3947.0;100.0;1022.0;28936.0;2215.0;287.0;5;70514.0;775734.0;203969.0;46442.0;5082652.0
2021;41557.0;9517.0;135.0;1052.0;25937.0;4507.0;409.0;6;63493.0;742932.0;199970.0;43887.0;4806203.0
2021;40870.0;8906.0;74.0;754.0;25238.0;5591.0;307.0;7;16909.0;714904.0;208110.0;45036.0;4660944.0
2021;53632.0;8934.0;150.0;895.0;38731.0;2013.0;2909.0;8;17883.0;733252.0;211540.0;43326.0;4460809.0
2021;32012.0;4534.0;76.0;757.0;23954.0;1875.0;816.0;9;19092.0;1011283.0;205968.0;38777.0;11391036.0
2021;28465.0;7538.0;121.0;475.0;17548.0;2420.0;363.0;10;19449.0;1227024.0;203765.0;38731.0;22887315.0
2021;31329.0;7540.0;95.0;1225.0;19893.0;2053.0;523.0;11;18535.0;1237156.0;190207.0;39348.0;22805380.0
2021;26349.0;3207.0;80.0;999.0;18533.0;2546.0;984.0;12;18440.0;1410497.0;201323.0;59642.0;23526143.0
2022;33477.0;3305.0;73.0;729.0;26118.0;2440.0;812.0;1;19415.0;1520397.0;210131.0;73371.0;23937092.0
2022;27472.0;3694.0;76.0;958.0;19601.0;2387.0;756.0;2;18786.0;1434182.0;191924.0;68269.0;23432608.0
2022;37553.0;5704.0;85.0;935.0;26694.0;2961.0;1174.0;3;22538.0;1636468.0;219253.0;88058.0;27750591.0
2022;28351.0;5811.0;91.0;977.0;18519.0;2520.0;433.0;4;22607.0;1546301.0;207286.0;84659.0;26157045.0
2022;50437.0;6795.0;203.0;1276.0;38819.0;2805.0;539.0;5;21984.0;1542430.0;219171.0;84027.0;28046722.0
2022;35706.0;9724.0;100.0;1087.0;20945.0;3059.0;791.0;6;20126.0;1397481.0;205741.0;79578.0;22721595.0
2022;34098.0;7225.0;71.0;1403.0;22054.0;3049.0;296.0;7;20727.0;1323987.0;210049.0;80410.0;20677426.0
2022;62695.0;11398.0;55.0;837.0;42470.0;3659.0;4276.0;8;23790.0;1317074.0;207965.0;79389.0;19175133.0
2022;45396.0;4925.0;93.0;918.0;35861.0;3238.0;361.0;9;24352.0;1220267.0;197675.0;74878.0;19687970.0
2022;48178.0;7232.0;75.0;651.0;36956.0;2612.0;652.0;10;29848.0;1161456.0;194210.0;79615.0;21086119.0
2022;26809.0;2772.0;964.0;728.0;17509.0;3099.0;1737.0;11;31953.0;1170952.0;183190.0;70522.0;19589839.0
2022;51403.0;1932.0;69.0;802.0;43984.0;3070.0;1546.0;12;28349.0;1194118.0;187598.0;68475.0;21515999.0
2023;59030.0;11827.0;63.0;605.0;41691.0;2843.0;2001.0;1;22953.0;876282.0;151303.0;59740.0;17915517.0
2023;47990.0;7503.0;82.0;643.0;37037.0;2510.0;215.0;2;28684.0;1148136.0;178018.0;58548.0;21825256.0
2023;53792.0;8258.0;105.0;1230.0;40289.0;2987.0;923.0;3;29783.0;1263316.0;201700.0;67398.0;23663152.0
2023;41822.0;6417.0;165.0;1027.0;30195.0;2669.0;1349.0;4;32288.0;1286403.0;202105.0;65998.0;22568432.0
2023;69974.0;2369.0;143.0;363.0;44519.0;3631.0;18949.0;5;36872.0;1419856.0;210477.0;66383.0;23326834.0
2023;61308.0;3460.0;100.0;295.0;35576.0;2812.0;19065.0;6;33252.0;1259657.0;204964.0;63891.0;22292167.0
2023;50584.0;4412.0;182.0;324.0;37555.0;2580.0;5531.0;7;68933.0;1238137.0;216571.0;62546.0;22992610.0
2023;58220.0;132.0;311.0;439.0;40861.0;2806.0;13671.0;8;30667.0;1281121.0;231585.0;61914.0;23698439.0
2023;40183.0;373.0;100.0;509.0;35207.0;2233.0;1761.0;9;21285.0;1007039.0;185784.0;46116.0;22002538.0
2023;51665.0;3580.0;107.0;608.0;44760.0;2390.0;220.0;10;24242.0;1291167.0;251074.0;57910.0;24259896.0
2023;46470.0;247.0;68.0;667.0;42739.0;2576.0;173.0;11;23690.0;1165032.0;243556.0;57740.0;24026356.0
2023;40499.0;45.0;106.0;571.0;37397.0;2280.0;100.0;12;23869.0;1183197.0;247815.0;61373.0;24623834.0
2024;40540.0;74.0;154.0;391.0;37357.0;2455.0;109.0;1;24762.0;1058200.0;247727.0;61483.0;25852103.0
2024;33893.0;1156.0;150.0;392.0;30498.0;1600.0;97.0;2;25868.0;1092179.0;222067.0;56149.0;23737572.0
2024;39950.0;943.0;370.0;470.0;36306.0;1763.0;98.0;3;22032.0;1236584.0;234609.0;59205.0;25134009.0
2024;32003.0;94.0;1102.0;393.0;27791.0;2223.0;400.0;4;25196.0;1191505.0;226576.0;60049.0;24906529.0
2024;29843.0;91.0;114.0;588.0;26385.0;2404.0;261.0;5;27186.0;1176874.0;222515.0;63615.0;25346770.0
2024;32011.0;98.0;123.0;615.0;28534.0;2238.0;403.0;6;24316.0;1159208.0;215827.0;56059.0;24875967.0
2024;40808.0;4563.0;165.0;551.0;32995.0;2327.0;207.0;7;26886.0;1183699.0;232054.0;56414.0;24967097.0
2024;55186.0;19042.0;233.0;469.0;33636.0;1664.0;142.0;8;27200.0;1227117.0;223325.0;54500.0;18684069.0
2024;51970.0;13999.0;188.0;409.0;35277.0;1954.0;143.0;9;40611.0;1384628.0;235888.0;54953.0;11580964.0
2024;73957.0;10238.0;193.0;2145.0;58910.0;1909.0;562.0;10;30908.0;1092690.0;235328.0;52347.0;21849946.0
2024;47627.0;6723.0;179.0;839.0;34135.0;1707.0;4044.0;11;28444.0;1193275.0;237279.0;55116.0;23986098.0
2024;38768.0;477.0;129.0;675.0;35797.0;1393.0;297.0;12;28063.0;1212295.0;246739.0;58516.0;24732423.0
2025;53324.0;2552.0;232.0;744.0;47869.0;1605.0;322.0;1;26925.0;1308916.0;246574.0;59848.0;24962627.0
2025;37525.0;3490.0;228.0;609.0;31257.0;1745.0;196.0;2;25100.0;1184500.0;229240.0;53910.0;23378348.0
2025;39530.0;6188.0;400.0;675.0;30497.0;1485.0;285.0;3;27489.0;1275737.0;278062.0;60168.0;25174313.0
2025;39441.0;4552.0;360.0;771.0;31552.0;1866.0;340.0;4;24746.0;986929.0;236574.0;52786.0;17065465.0
2025;34624.0;968.0;286.0;882.0;30440.0;1736.0;312.0;5;26607.0;1226984.0;266799.0;57583.0;24090030.0
2025;28198.0;530.0;292.0;659.0;24135.0;2410.0;172.0;6;24995.0;1087147.0;200092.0;42823.0;26262078.0
2025;36690.0;1181.0;379.0;819.0;31654.0;2607.0;50.0;7;25994.0;1158957.0;271773.0;55191.0;26826072.0
2025;40921.0;313.0;300.0;2997.0;34848.0;2302.0;161.0;8;23124.0;1161034.0;279829.0;57038.0;26139712.0
2025;30680.0;1994.0;282.0;3185.0;22792.0;2115.0;312.0;9;23911.0;3613955.0;271344.0;59484.0;27273148.0
2025;47772.0;4561.0;314.0;6699.0;33809.0;2125.0;264.0;10;35307.0;2741067.0;281293.0;74696.0;29620070.0
2025;44146.0;62.0;348.0;935.0;40620.0;2040.0;141.0;11;34772.0;2355471.0;276487.0;72654.0;29555651.0
2025;38034.0;27.0;308.0;990.0;34446.0;1994.0;269.0;12;35341.0;4638516.0;293714.0;76284.0;30633462.0
2026;40446.0;59.0;351.0;535.0;37523.0;1711.0;267.0;1;31806.0;5317531.0;301873.0;78093.0;30712655.0
2026;34550.0;4364.0;285.0;450.0;27440.0;1736.0;275.0;2;30252.0;;275103.0;76668.0;28340704.0
2026;48573.0;6759.0;230.0;764.0;38312.0;2186.0;322.0;3;36386.0;4894796.0;286564.0;81249.0;34460995.0
2026;;;;;;;;4;10866.0;979688.0;91865.0;24794.0;11018779.0
